"VBIS Classification","2021-06-16",,,,"Brick Equipment Classes",,,,,,
"Level 1","Level 2","Level 3","Level 4",,,,,,,,
"Discipline","Product","Sub-Type","Sub-Sub-Type","VBIS Tag","BRICK Equipment Class","BRICK Equipment Class","BRICK Equipment Class","BRICK Equipment Class","BRICK Equipment Class","BRICK Equipment Class","BRICK Equipment Class"
"Acoustics",,,,"AC",,,,,,,
"Acoustics","Curtains",,,"AC-Cu",,,,,,,
"Acoustics","Curtains","Window",,"AC-Cu-Wi",,,,,,,
"Acoustics","Curtains","Stage",,"AC-Cu-St",,,,,,,
"Acoustics","Curtains","Office",,"AC-Cu-Of",,,,,,,
"Acoustics","Inertia Bases",,,"AC-IB",,,,,,,
"Acoustics","Panels",,,"AC-Pa",,,,,,,
"Acoustics","Screens",,,"AC-Sc",,,,,,,
"Acoustics","Vibration Isolators",,,"AC-VI",,,,,,,
"Acoustics","Vibration Isolators","Waffle Pad",,"AC-VI-WP",,,,,,,
"Acoustics","Vibration Isolators","Neoprene/Rubber",,"AC-VI-Ne",,,,,,,
"Acoustics","Vibration Isolators","Rubber",,"AC-VI-Ru",,,,,,,
"Acoustics","Vibration Isolators","Foam",,"AC-VI-Fo",,,,,,,
"Acoustics","Vibration Isolators","Insulation",,"AC-VI-In",,,,,,,
"Acoustics","Vibration Isolators","Free Standing Isolators",,"AC-VI-FSI",,,,,,,
"Acoustics","Vibration Isolators","Plate Isolators",,"AC-VI-PI",,,,,,,
"Acoustics","Vibration Isolators","Suspension Isolators",,"AC-VI-SI",,,,,,,
"Acoustics","Vibration Isolators","Spring",,"AC-VI-Sp",,,,,,,
"Acoustics","Vibration Isolators","Spring- Seismic ",,"AC-VI-SS",,,,,,,
"Acoustics","Documents",,,"AC-Doc",,,,,,,
"Acoustics","Documents","Advice Note",,"AC-Doc-AN",,,,,,,
"Acoustics","Documents","Brief",,"AC-Doc-Br",,,,,,,
"Acoustics","Documents","Brief","Client","AC-Doc-Br-Cl",,,,,,,
