Term,Definition,See Also
https://brickschema.org/schema/Brick#Ablutions_Room,A room for performing cleansing rituals before prayer,
https://brickschema.org/schema/Brick#Absorption_Chiller,"A chiller that utilizes a thermal or/and chemical process to produce the refrigeration effect necessary to provide chilled water. There is no mechanical compression of the refrigerant taking place within the machine, as occurs within more traditional vapor compression type chillers.",
https://brickschema.org/schema/Brick#Acceleration_Time,,
https://brickschema.org/schema/Brick#Acceleration_Time_Setpoint,,
https://brickschema.org/schema/Brick#Active_Power,"(Active Power) is, under periodic conditions, the mean value, taken over one period (T), of the instantaneous power (p). In complex notation, (P = Re \; S), where (S) is (complex power)"".",
https://brickschema.org/schema/Brick#Active_Power_Sensor,"Measures the portion of power that, averaged over a complete cycle of the AC waveform, results in net transfer of energy in one direction","https://en.wikipedia.org/wiki/AC_power#Active,_reactive,_and_apparent_power"
https://brickschema.org/schema/Brick#Adjust_Sensor,Measures user-provided adjustment of some value,
https://brickschema.org/schema/Brick#AHU,"Assembly consisting of sections containing a fan or fans and other necessary equipment to perform one or more of the following functions: circulating, filtration, heating, cooling, heat recovery, humidifying, dehumidifying, and mixing of air. Is usually connected to an air-distribution system.",
https://brickschema.org/schema/Brick#Air,"the invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen.",
https://brickschema.org/schema/Brick#Air_Alarm,,
https://brickschema.org/schema/Brick#Air_Cooled_Chiller,"A chiller that condenses the refrigerant by rejecting thermal energy through passing air, usually outside air, over a dry coil.",
https://brickschema.org/schema/Brick#Air_Differential_Pressure_Sensor,Measures the difference in pressure between two regions of air,
https://brickschema.org/schema/Brick#Air_Enthalpy_Sensor,Measures the total heat content of air,
https://brickschema.org/schema/Brick#Air_Flow_Deadband_Setpoint,Sets the size of a deadband of air flow,
https://brickschema.org/schema/Brick#Air_Flow_Demand_Setpoint,Sets the rate of air flow required for a process,
https://brickschema.org/schema/Brick#Air_Flow_Loss_Alarm,An alarm that indicates loss in air flow.,
https://brickschema.org/schema/Brick#Air_Flow_Sensor,Measures the rate of flow of air,
https://brickschema.org/schema/Brick#Air_Flow_Setpoint,Sets air flow,
https://brickschema.org/schema/Brick#Air_Grains_Sensor,Measures the mass of water vapor in air,
https://brickschema.org/schema/Brick#Air_Handler_Unit,"Assembly consisting of sections containing a fan or fans and other necessary equipment to perform one or more of the following functions: circulating, filtration, heating, cooling, heat recovery, humidifying, dehumidifying, and mixing of air. Is usually connected to an air-distribution system.",
https://brickschema.org/schema/Brick#Air_Quality,,
https://brickschema.org/schema/Brick#Air_Source_Heat_Pump,A heat pump that extracts thermal energy from a volume of air and transfers it to another medium such as water or air.,
https://brickschema.org/schema/Brick#Air_Static_Pressure_Step_Parameter,,
https://brickschema.org/schema/Brick#Air_Temperature_Alarm,An alarm that indicates the off-normal conditions associated with the temperature of air.,
