Term,Definition,See Also
https://brickschema.org/schema/Brick#Ablutions_Room,A room for performing cleansing rituals before prayer,
https://brickschema.org/schema/Brick#Atrium,a large open-air or skylight covered space surrounded by a building.,https://en.wikipedia.org/wiki/Atrium_(architecture)
https://brickschema.org/schema/Brick#Auditorium,A space for performances or larger gatherings,
https://brickschema.org/schema/Brick#Basement,The floor of a building which is partly or entirely below ground level.,
https://brickschema.org/schema/Brick#Battery_Room,A room used to hold batteries for backup power,
https://brickschema.org/schema/Brick#Bench_Space,"For areas of play in a stadium, the area for partcipants and referees by the side of the field",
https://brickschema.org/schema/Brick#Break_Room,A space for people to relax while not working,
https://brickschema.org/schema/Brick#Broadcast_Room,A space to organize and manage a broadcast. Separate from studio,
https://brickschema.org/schema/Brick#Building,"An independent unit of the built environment with a characteristic spatial structure, intended to serve at least one function or user activity [ISO 12006-2:2013]",
https://brickschema.org/schema/Brick#Cafeteria,A space to serve food and beverages,
https://brickschema.org/schema/Brick#Cold_Box,"in a gas separation unit, the insulated section that contains the low-temperature heat exchangers and distillation columns.",
https://brickschema.org/schema/Brick#Common_Space,A class of spaces that are used by multiple people at the same time,
https://brickschema.org/schema/Brick#Concession,A space to sell food and beverages. Usually embedded in a larger space and does not include a space where people consume their purchases,
https://brickschema.org/schema/Brick#Conference_Room,A space dedicated in which to hold a meetings,
https://brickschema.org/schema/Brick#Control_Room,A space from which operations are managed,
https://brickschema.org/schema/Brick#Copy_Room,"A room set aside for common office equipment, including printers and copiers",
https://brickschema.org/schema/Brick#Cubicle,"A smaller space set aside for an individual, but not with a door and without full-height walls",
https://brickschema.org/schema/Brick#Detention_Room,A space for the temporary involuntary confinement of people,
https://brickschema.org/schema/Brick#Distribution_Frame,"A class of spaces where the cables carrying signals meet and connect, e.g. a wiring closet or a broadcast downlink room",
https://brickschema.org/schema/Brick#Electrical_Room,A class of service rooms that house electrical equipment for a building,
https://brickschema.org/schema/Brick#Elevator_Shaft,The vertical space in which an elevator ascends and descends,
https://brickschema.org/schema/Brick#Employee_Entrance_Lobby,An open space near an entrance that is typicaly only used for employees,
https://brickschema.org/schema/Brick#Enclosed_Office,A space for individuals to work with walls and a door,
https://brickschema.org/schema/Brick#Energy_Zone,A space or group of spaces that are managed or monitored as one unit for energy purposes,
https://brickschema.org/schema/Brick#Entrance,The location and space of a building where people enter and exit the building,
https://brickschema.org/schema/Brick#Environment_Box,"(also known as climatic chamber), enclosed space designed to create a particular environment.",
https://brickschema.org/schema/Brick#Equipment_Room,A telecommunications room where equipment that serves the building is stored,
https://brickschema.org/schema/Brick#Exercise_Room,An indoor room used for exercise and physical activities,
https://brickschema.org/schema/Brick#Field_Of_Play,"The area of a stadium where athletic events occur, e.g. the soccer pitch",
https://brickschema.org/schema/Brick#Fire_Zone,A logical subdivision of a building that is monitored for fire; may also have a classification for the type of fire hazard that can occur,
https://brickschema.org/schema/Brick#First_Aid_Room,A room for a person with minor injuries can be treated or temporarily treated until transferred to a more advanced medical facility,
https://brickschema.org/schema/Brick#Floor,"A level, typically representing a horizontal aggregation of spaces that are vertically bound. (referring to IFC)",
https://brickschema.org/schema/Brick#Food_Service_Room,"A space used in the production, storage, serving, or cleanup of food and beverages",
https://brickschema.org/schema/Brick#Freezer,"cold chamber usually kept at a temperature of 22°F to 31°F (–5°C to –1°C), with high-volume air circulation.",
https://brickschema.org/schema/Brick#Furniture,"Movable objects intended to support various human activities such as seating, eating and sleeping",https://en.wikipedia.org/wiki/Furniture
https://brickschema.org/schema/Brick#Gatehouse,The standalone building used to manage the entrance to a campus or building grounds,
https://brickschema.org/schema/Brick#Generator_Room,"A room for electrical equipment, specifically electrical generators.",
https://brickschema.org/schema/Brick#HVAC_Zone,"a space or group of spaces, within a building with heating, cooling, and ventilating requirements, that are sufficiently similar so that desired conditions (e.g., temperature) can be maintained throughout using a single sensor (e.g., thermostat or temperature sensor).",
https://brickschema.org/schema/Brick#Hallway,"A common space, used to connect other parts of a building",
https://brickschema.org/schema/Brick#Hazardous_Materials_Storage,A storage space set aside (usually with restricted access) for the storage of materials that can be hazardous to living beings or the environment,
https://brickschema.org/schema/Brick#Hospitality_Box,"A room at a stadium, usually overlooking the field of play, that is physical separate from the other seating at the venue",
https://brickschema.org/schema/Brick#Hot_Box,hot air chamber forming part of an air handler.,
https://brickschema.org/schema/Brick#IDF,"An room for an intermediate distribution frame, where cables carrying signals from the main distrubtion frame terminate and then feed out to endpoints",
https://brickschema.org/schema/Brick#Information_Area,An information booth or kiosk where visitors would look for information,
https://brickschema.org/schema/Brick#Janitor_Room,A room set aside for the storage of cleaning equipment and supplies,
https://brickschema.org/schema/Brick#Laboratory,"facility acceptable to the local, national, or international recognized authority having jurisdiction and which provides uniform testing and examination procedures and standards for meeting design, manufacturing, and factory testing requirements.",
https://brickschema.org/schema/Brick#Library,"A place for the storage and/or consumption of physical media, e.g. books, periodicals, and DVDs/CDs",
https://brickschema.org/schema/Brick#Loading_Dock,A part of a facility where delivery trucks can load and unload. Usually partially enclosed with specific traffic lanes leading to the dock,
https://brickschema.org/schema/Brick#Lobby,"A space just after the entrance to a building or other space of a building, where visitors can wait",
https://brickschema.org/schema/Brick#Lounge,A room for lesiure activities or relaxing,
https://brickschema.org/schema/Brick#MDF,"A room for the Main Distribution Frame, the central place of a building where cables carrying signals meet and connect to the outside world",
https://brickschema.org/schema/Brick#Mail_Room,A room where mail is recieved and sorted for distribution to the rest of the building,
https://brickschema.org/schema/Brick#Majlis,"In Arab countries, an Majlis is a private lounge where visitors are recieved and entertained",
https://brickschema.org/schema/Brick#Massage_Room,"Usually adjunct to an athletic facility, a private/semi-private space where massages are performed",
https://brickschema.org/schema/Brick#Mechanical_Room,A class of service rooms where mechanical equipment (HVAC) operates,
https://brickschema.org/schema/Brick#Media_Hot_Desk,A non-enclosed space used by members of the media temporarily to cover an event while they are present at a venue,
https://brickschema.org/schema/Brick#Media_Production_Room,A enclosed space used by media professionals for the production of media,
https://brickschema.org/schema/Brick#Media_Room,A class of spaces related to the creation of media,
https://brickschema.org/schema/Brick#Medical_Room,A class of rooms used for medical purposes,
https://brickschema.org/schema/Brick#Office,A class of rooms dedicated for work or study,
https://brickschema.org/schema/Brick#Office_Kitchen,"A common space, usually near or in a breakroom, where minor food preperation occurs",
https://brickschema.org/schema/Brick#Open_Office,An open space used for work or study by mulitple people. Usuaully subdivided into cubicles or desks,
https://brickschema.org/schema/Brick#Outdoor_Area,A class of spaces that exist outside of a building,
https://brickschema.org/schema/Brick#Parking_Level,A floor of a parking structure,
https://brickschema.org/schema/Brick#Parking_Space,An area large enough to park an individual vehicle,
https://brickschema.org/schema/Brick#Parking_Structure,A building or part of a building devoted to vehicle parking,
https://brickschema.org/schema/Brick#Photovoltaic_Array,A collection of photovoltaic panels,
https://brickschema.org/schema/Brick#Plumbing_Room,A service room devoted to the operation and routing of water in a building. Usually distinct from the HVAC subsystems.,
https://brickschema.org/schema/Brick#Portfolio,A collection of sites,
https://brickschema.org/schema/Brick#Prayer_Room,A room set aside for prayer,
https://brickschema.org/schema/Brick#Private_Office,"An office devoted to a single individual, with walls and door",
https://brickschema.org/schema/Brick#Pump_Room,A mechanical room that houses pumps,
https://brickschema.org/schema/Brick#Reception,"A space, usually in a lobby, where visitors to a building or space can go to after arriving at a building and inform building staff that they have arrived",
https://brickschema.org/schema/Brick#Region,"A unit of geographic space, usually contigious or somehow related to a geopolitical feature",
https://brickschema.org/schema/Brick#Restroom,A room that provides toilets and washbowls.,
https://brickschema.org/schema/Brick#Retail_Room,"A space set aside for retail in a larger establishment, e.g. a gift shop in a hospital",
https://brickschema.org/schema/Brick#Riser,"A vertical shaft indented for installing building infrastructure e.g., electrical wire, network communication wire, plumbing, etc",
