@id,qudt:hasQuantityKind,rdfs:subClassOf,todo:,rdfs:comment
rec:AbsoluteHumidityObservation,quantitykind:AbsoluteHumidity,rec:ObservationEvent,,
rec:AccelerationObservation,quantitykind:Acceleration,rec:ObservationEvent,,
rec:ActuationEvent,,rec:PointEvent,,
rec:AngleObservation,quantitykind:Angle,rec:ObservationEvent,,
rec:AngularAccelerationObservation,quantitykind:AngularAcceleration,rec:ObservationEvent,,
rec:AngularVelocityObservation,quantitykind:AngularVelocity,rec:ObservationEvent,,
rec:AreaObservation,quantitykind:Area,rec:ObservationEvent,,
rec:BooleanValueObservation,,rec:ObservationEvent,,Generic xsd:boolean value observation that is not specific to any particular QUDT quantitykind or unit.
rec:CapacitanceObservation,quantitykind:Capacitance,rec:ObservationEvent,,
rec:DataRateObservation,quantitykind:DataRate,rec:ObservationEvent,,
rec:DataSizeObservation,quantitykind:InformationEntropy,rec:ObservationEvent,,
rec:DensityObservation,quantitykind:Density,rec:ObservationEvent,,
rec:DistanceObservation,quantitykind:Distance,rec:ObservationEvent,,
rec:DoubleValueObservation,,rec:ObservationEvent,,Generic xsd:double value observation that is not specific to any particular QUDT quantitykind or unit.
rec:ElectricChargeObservation,quantitykind:ElectricCharge,rec:ObservationEvent,,
rec:ElectricCurrentObservation,quantitykind:ElectricCurrent,rec:ObservationEvent,,
rec:EnergyObservation,quantitykind:Energy,rec:ObservationEvent,,
rec:ExceptionEvent,,rec:PointEvent,,
rec:ForceObservation,quantitykind:Force,rec:ObservationEvent,,
rec:FrequencyObservation,quantitykind:Frequency,rec:ObservationEvent,,
rec:IlluminanceObservation,quantitykind:Illuminance,rec:ObservationEvent,,
rec:InductanceObservation,quantitykind:Inductance,rec:ObservationEvent,,
rec:IntegerValueObservation,,rec:ObservationEvent,,Generic xsd:int value observation that is not specific to any particular QUDT quantitykind or unit.
rec:LengthObservation,quantitykind:Length,rec:ObservationEvent,,
rec:LuminanceObservation,quantitykind:Luminance,rec:ObservationEvent,,
rec:LuminousFluxObservation,quantitykind:LuminousFlux,rec:ObservationEvent,,
rec:LuminousIntensityObservation,quantitykind:LuminousIntensity,rec:ObservationEvent,,
rec:MagneticFluxObservation,quantitykind:MagneticFlux,rec:ObservationEvent,,
rec:MassFlowRateObservation,quantitykind:MassFlowRate,rec:ObservationEvent,,
rec:MassObservation,quantitykind:Mass,rec:ObservationEvent,,
rec:ObservationEvent,,rec:PointEvent,,
rec:PointEvent,,rec:PointEvent,,"An event emanating from or targeting a Point; e.g., an individual Observation from a Sensor point, or an Actuation sent to a Command point. In other terms, the Points indicate the capability of some Space or Equipment to emit or accept data, while this class represents those actual data messages. Note that in most non-trivially sized systems, these events are not stored in the knowledge graph itself, but are rather forwarded to some C&C system or time series database."
rec:PowerObservation,quantitykind:Power,rec:ObservationEvent,,
rec:PressureObservation,quantitykind:Pressure,rec:ObservationEvent,,
rec:RelativeHumidityObservation,quantitykind:RelativeHumidity,rec:ObservationEvent,,
rec:ResistanceObservation,quantitykind:Resistance,rec:ObservationEvent,,
rec:SoundPressureObservation,quantitykind:SoundPressure,rec:ObservationEvent,,
rec:TemperatureObservation,quantitykind:Temperature,rec:ObservationEvent,,
rec:ThrustObservation,quantitykind:Thrust,rec:ObservationEvent,,
rec:TimeSpanObservation,quantitykind:Time,rec:ObservationEvent,,
rec:TorqueObservation,quantitykind:Torque,rec:ObservationEvent,,
rec:VelocityObservation,quantitykind:Velocity,rec:ObservationEvent,,
rec:VoltageObservation,quantitykind:Voltage,rec:ObservationEvent,,
rec:VolumeFlowRateObservation,quantitykind:VolumeFlowRate,rec:ObservationEvent,,
rec:VolumeObservation,quantitykind:Volume,rec:ObservationEvent,,
