@id,brick:inMode,brick:ofSystem/Equipment/Process,brick:hasSubstance,brick:isDifferential,brick:hasQuantity/Enumeration,rdfs:subClassOf,todo:,skos:definition
brick:Absolute_Humidity_Sensor,,,,,quantitykind:AbsoluteHumidity,brick:Sensor,,Measures the present state of absolute humidity
brick:Acceleration_Time_Setpoint,,brick:Acceleration,,,quantitykind:Time,brick:Setpoint,,
brick:Active_Power_Sensor,,,,,quantitykind:ActivePower,brick:Sensor,,"Measures the portion of power that, averaged over a complete cycle of the AC waveform, results in net transfer of energy in one direction"
brick:Adjust_Sensor,,,,,,,(deprecated),Measures user-provided adjustment of some value
brick:Air_Alarm,,,brick:Air,,,brick:Alarm,,
brick:Air_Differential_Pressure_Sensor,,,brick:Air,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in pressure between two regions of air
brick:Air_Differential_Pressure_Setpoint,,,brick:Air,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target air differential pressure between an upstream and downstream point in a air duct or conduit
brick:Air_Enthalpy_Sensor,,,brick:Air,,quantitykind:Enthalpy,brick:Sensor,,Measures the total heat content of air
brick:Air_Flow_Alarm,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Alarm,,An alarm related to air flow.
brick:Air_Flow_Deadband_Setpoint,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Deadband_Setpoint,,Sets the size of a deadband of air flow
brick:Air_Flow_Demand_Setpoint,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Demand_Setpoint,,Sets the rate of air flow required for a process
brick:Air_Flow_Loss_Alarm,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Loss_Alarm,,An alarm that indicates loss in air flow.
brick:Air_Flow_Sensor,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of air
brick:Air_Flow_Setpoint,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets air flow
brick:Air_Flow_Setpoint_Limit,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Air_Flow_Setpoint.
brick:Air_Grains_Sensor,,,brick:Air,,,brick:Sensor,Grains,Measures the mass of water vapor in air
brick:Air_Pressure_Sensor,,,brick:Air,,quantitykind:Pressure,brick:Sensor,,Measures the pressure of the surrounding air.
brick:Air_Pressure_Setpoint,,,brick:Air,,quantitykind:Pressure,brick:Setpoint,,
brick:Air_Quality_Sensor,,,,,,brick:Air_Quality_Sensor,,A sensor which provides a measure of air quality
brick:Air_Static_Pressure_Sensor,,,brick:Air,,quantitykind:StaticPressure,brick:Sensor,,"Measures the pressure exerted by the air in a system, not influenced by its motion."
brick:Air_Static_Pressure_Step_Parameter,,,brick:Air,,quantitykind:StaticPressure,brick:Step_Parameter,,
brick:Air_Temperature_Alarm,,,brick:Air,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with the temperature of air.
