Dimension,TagSet,Definition,Reference,TagSet Decomposition,usesEquipment,isPartOf,hasSynonym,hasUnit,hasAbbreviation,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,usesPoint,usesLocation,usesMeasurement
Equipment,Elevator,,,,,,,,,,,,,,,,,
Equipment,Energy Storage,System that captures of energy produced at one time for use at a later time. ,https://en.wikipedia.org/wiki/Energy_storage,,,,,,,,,,,,,,,
Equipment,Fire Safety System,,,,,,,,,,,,,,,,,
Equipment,Heating Ventilation Air Conditioning System,,,,,,HVAC,,,,,,,,,,,
Equipment,Lighting System,,,,,,,,,,,,,,,,,
Equipment,Power System,,,,,,,,,,,,,,,,,
Equipment,Solar Panel,,,,,,,,,,,,,,,,,
Equipment,Steam System,,,,,,,,,,,,,,,,,
Equipment,Water System,,,,,,WS,,,,,,,,,,,
Equipment,Weather,,,,,,,,,,,,,,,,,
Equipment>Energy Storage,Battery,,,,,,,,,,,,,,,,,
Equipment>Energy Storage,Thermal Energy Storage,The temporary storage or removal of heat,https://en.wikipedia.org/wiki/Energy_storage#Thermal_storage,,,,,,,,,,,,,,,
Equipment>Fire Safety System,Fire Control Panel,,,,,,FCP,,FCP,,,Bharath,,,,,,
Equipment>Furniture,Chair,,,,,,,,,,,blip2,,,,,,
Equipment>Furniture,Desk,,,,,,,,,,,blip2,,,,,,
Equipment>HVAC,Air Handler Unit,"Assembly consisting of sections containing a fan or fans and other necessary equipment to perform one or more of the following functions: circulating, filtration, heating, cooling, heat recovery, humidifying, dehumidifying, and mixing of air. Is usually connected to an air-distribution system.",ASHRAE Dictionary,,,,AHU,,AHU,O,X,Joern,,,,,,
Equipment>HVAC,Coil,Cooling or heating element made of pipe or tube that may or may not be finned and formed into helical or serpentine shape.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Compressor,"(1) device for mechanically increasing the pressure of a gas. (2) often described as being either open, hermetic, or semihermetic to describe how the compressor and motor drive is situated in relation to the gas or vapor being compressed. Types include centrifugal, axial flow, reciprocating, rotary screw, rotary vane, scroll, or diaphragm. 1. device for mechanically increasing the pressure of a gas. 2. specific machine, with or without accessories, for compressing refrigerant vapor.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Computer Room Air Conditioning,"A device that monitors and maintains the temperature, air distribution and humidity in a network room or data center. ",http://searchdatacenter.techtarget.com/definition/computer-room-air-conditioning-unit,,,,CRAC,,CRAC,,,Bharath,,,,,,
Equipment>HVAC,Condenser,A heat exchanger in which the primary heat transfer vapor changes its state to a liquid phase.,ASHRAE Dictionary,,,,Condensor,,,,,,,,,,,
Equipment>HVAC,Boiler,"A closed, pressure vessel that uses fuel or electricity for heating water or other fluids to supply steam or hot water for heating, humidification, or other applications.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Damper,Element inserted into an air-distribution system or element of an air-distribution system permitting modification of the air resistance of the system and consequently changing the airflow rate or shutting off the airflow.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Economizer,"Device that, on proper variable sensing, initiates control signals or actions to conserve energy. A control system that reduces the mechanical heating and cooling requirement.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Fan,"Any device with two or more blades or vanes attached to a rotating shaft used to produce an airflow for the purpose of comfort, ventilation, exhaust, heating, cooling, or any other gaseous transport. ",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Filter,Device to remove gases from a mixture of gases,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Fume Hood,"A fume-collection device mounted over a work space, table, or shelf and serving to conduct unwanted gases away from the area enclosed.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Pump,"Machine for imparting energy to a fluid, causing it to do work, drawing a fluid into itself through an entrance port, and forcing the fluid out through an exhaust port.",ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Space Heater,"A heater used to warm the air in an enclosed area, such as a room or office","space heater. (n.d.) Collins English Dictionary – Complete and Unabridged, 12th Edition 2014. (1991, 1994, 1998, 2000, 2003, 2006, 2007, 2009, 2011, 2014). Retrieved February 20 2017 from http://www.thefreedictionary.com/space+heater",,,,,,,O,X,Jason,,,,,,
Equipment>HVAC,Terminal Unit,A device that regulates the volumetric flow rate and/or the temperature of the controlled medium.,ASHRAE Dictionary,,,,,,,,,Bharath,,,,,,
Equipment>HVAC,Thermostat,An automatic control device used to maintain temperature at a fixed or adjustable setpoint.,ASHRAE Dictionary,,,,,,,,,,,,,,,
Equipment>HVAC,Valve,Device to regulate or stop the flow of fluid in a pipe or a duct by throttling.,ASHRAE Dictionary,,,,,,,,,Bharath,,,,,,
Equipment>HVAC,Variable Frequency Drive,"Electronic device that varies its output frequency to vary the rotating speed of a motor, given a fixed input frequency. Used with fans or pumps to vary the flow in the system as a function of a maintained pressure.",ASHRAE Dictionary,,,,VFD,,VFD,O,X,Bharath,,,,,,
Equipment>HVAC>AHU,Heat Wheel VFD,Motor for Heat Wheel,,,,,,,,,,Josh,,,,,,
Equipment>HVAC>AHU,Preheat Hot Water Valve,,,,,,,,,,,Jason,,,,,,
