Dimension,Tag,Definition,Related Terminologies,hasSynonym,Author,Reviewed,Review Count,Comments
Equipment,HX,Heat Exchanger,,,,,,
Equipment,FCP,Fire Control Panel,,,,,,
Equipment,CWS,Chilled Water System,,,,,,
Equipment,DHWS,Domestic Hot Water System,,,,,,
Equipment,HWS,Hot Water System,,,,,,
MeasurementProperty,Safety,,,,,,,
MeasurementProperty,PIR,Passive Infra Red,,,,,,
MeasurementProperty,Ventilation,,,,,,,
Equipment,HVAC,,,,,,,
Equipment,Load,,Eletrical load,,Jason,,,
Equipment,Bus,"A metallic strip or bar (typically copper, brass or aluminium) that conducts electricity. Or bus bar.",,,Jason,,,
Equipment,Battery,,,,Jason,,,
Equipment,Solar,,Solar panel,,Jason,,,
Equipment,PV,,Abbreviation of Photovoltaic,,Jason,,,
Equipment,AHU,,,,,,,
Equipment,CRAC,,,,,,,
Equipment,VFD,,,,,,,
Equipment,Compressor,,,,,,,
Equipment,VAV,,,,,,,
Equipment,FCU,,,,,,,
Equipment,Lighting,,,,,,,
Equipment,Heating,,heating coil,,Jingkun,,,
Equipment,Cooling,,cooling coil,,Jingkun,,,
Equipment,Coil,,heating/cooing coil,,Jingkun,,,
Equipment,Hot,,hot water vavle,,Jingkun,,,
Equipment,Steam,,steam water valve,,Jingkun,,,
Equipment,Exhaust,,Exhaust Fan,,Jason,,,
Equipment,Return,,Return Air Temperature,,Jason,,,
Equipment,Mixed,,Mixed Air Temperature,,Jason,,,
Equipment,Chilled,,Chilled Water Vavle,,Jingkun,,,
Equipment,Water,,Chilled Water Vavle,,Jingkun,,,
Equipment,Outside,,Outside Air Temperature,,Jason,,,
Equipment,Bypass,,Bypass Damper,,Jason,,,
Equipment,Dehumidification,,,,Jason,,,
Equipment,Humidification,,,,Jason,,,
Equipment,Condensate,,,,Jason,,,
Equipment,Head,Head on a gas tube,High Head Pressure Sensor,,,,,
Equipment,Computer,,,,,,,
Equipment,Humidifier,,,,,,,
Equipment,Variable,,Variable Air Volume Box,,Jason,,,
Equipment,Air,,Variable Air Volume Box,,Jason,,,
Equipment,Volume,,Variable Air Volume Box,,Jason,,,
Equipment,Box,,Variable Air Volume Box,,Jason,,,
Equipment,Reheat,,Reheat Valve,,Jason,,,
Equipment,Discharge,,Discharge Air Flow Sensor,Supply,Jason,,,
Equipment,Damper,,Damper Position,,Jason,,,
Equipment,Position,,Damper Position,,Jason,,,
Equipment,Booster,,Booster Fan,,Jason,,,
Equipment,Fan,,Booster Fan,,Jason,,,
Equipment,Thermostat,,thermostat,,Jason,,,
Equipment,Adjustment,,Delta temperature setpoint (usually from thermostat),,Jason,,,
Equipment,Static,,,,Jason,,,
Equipment,Heater,,Space Heater,,Jason,,,
Equipment,Mixed,,,,,,,
Equipment,Drive,,,,Bharath,,,
Equipment,Speed,,,,Bharath,,,
Equipment,Torque,,,,Bharath,,,
Equipment,Acceleration,,,,Bharath,,,
Equipment,Deceleration,,,,Jason,,,
Equipment,Limit,,,,Bharath,,,
Equipment,Run,,,,Bharath,,,
Equipment,Enable,,,,Bharath,,,
Equipment,Manual,,Synonym: Hand,,Bharath,,,
Equipment,Auto,,,,Bharath,,,
Equipment,Direction,,,,Bharath,,,
Equipment,Maintenance,,,,Bharath,,,
Equipment,Required,,,,Bharath,,,
Equipment,Filter,,,,Bharath,,,
Equipment,Panel,,TagSet: Panel Lockout,,Bharath,,,
Equipment,Lockout,,,,Bharath,,,
Equipment,Output,,,,Bharath,,,
Equipment,Economizer,,,,,,,
Equipment,Reference,,,,Jason,,,
Equipment,Motor,,,,Bharath,,,
Equipment,Rated,,TagSet: Rated Speed,,Bharath,,,
Equipment,Dead,,Dead Band,,Jason,,,
Equipment,Band,,Dead Band,,Jason,,,
Equipment,Hot,,Hot Water Pump,,Jason,,,
Equipment,Medium,,Medium Temperature Water,,Jason,,,
Equipment,Chilled,,Chilled Water Pump,,Jason,,,
Equipment,Water,,"Chilled Water Pump, Hot Water Pump",,Jason,,,
Equipment,Pump,,"Chilled Water Pump, Hot Water Pump",,Jason,,,
Equipment,Heat,,Heat Exchanger,,Jason,,,
Equipment,Exchanger,,Heat Exchanger,,Jason,,,
Equipment,Valve,,Heat Exchanger Valve Command,,Jason,,,
Equipment,Stream,,"Steam Pressure Sensor, Stream Flow Sensor",,Jason,,,
Equipment,Differential,,Chilled Water Differential Pressure Setpoint,,Jason,,,
Equipment,Freeze,,Freeze Status,,Jason,,,
Equipment,LED,,,,,,,
Location,Basement,,,,,,,
Location,Roof,,,,,,,
Location,Zone,,Zone temperature,,Jason,,,
Location,Room,,,,Jason,,,
Location,Floor,,,,Jason,,,
Location,Building,,,,Jason,,,
Location,Space,,Space Heater,,Jason,,,"(Zone, Room, space, these are confusing. Any suggestion?, Jason)"
Location,Wing,,,,Joern,,,
Location,Outside,,,,,,,
Location,City,,,,,,,
MeasurementProperty,Liquid,,Liquid Detected Alarm,,Jason,,,
MeasurementProperty,Smoke,,,,Jason,,,
MeasurementProperty,Domestic,,Domestic Hot Water Control Valve,,Jason,,,
MeasurementProperty,Zenith,,Solar Zenith Angle,,Jason,,,
MeasurementProperty,Azimuth,,Solar Azimuth Angle,,Jason,,,
