qudt_uri,bsdd_code,source
http://qudt.org/vocab/unit/A,A,bsdd-api
http://qudt.org/vocab/unit/AC-FT,,
http://qudt.org/vocab/unit/AC-FT_US,,
http://qudt.org/vocab/unit/ANGSTROM,Ao,bsdd-api
http://qudt.org/vocab/unit/ANGSTROM3,,
http://qudt.org/vocab/unit/ARCMIN,',bsdd-api
http://qudt.org/vocab/unit/ARCSEC,,
http://qudt.org/vocab/unit/ATM,atm,bsdd-api
http://qudt.org/vocab/unit/ATM_T,,
http://qudt.org/vocab/unit/AU,,
http://qudt.org/vocab/unit/A_Ab,,
http://qudt.org/vocab/unit/A_Stat,,
http://qudt.org/vocab/unit/AttoA,,
http://qudt.org/vocab/unit/AttoJ,,
http://qudt.org/vocab/unit/AttoSEC,,
http://qudt.org/vocab/unit/BAR,bar,bsdd-api
http://qudt.org/vocab/unit/BAR-L-PER-SEC,,
http://qudt.org/vocab/unit/BAR-M3-PER-SEC,,
http://qudt.org/vocab/unit/BAR-PER-BAR,,
http://qudt.org/vocab/unit/BARAD,,
http://qudt.org/vocab/unit/BARYE,,
http://qudt.org/vocab/unit/BAR_A,,
http://qudt.org/vocab/unit/BBL,bbl,bsdd-api
http://qudt.org/vocab/unit/BBL_UK_PET,,
http://qudt.org/vocab/unit/BBL_UK_PET-PER-DAY,,
http://qudt.org/vocab/unit/BBL_UK_PET-PER-HR,,
http://qudt.org/vocab/unit/BBL_UK_PET-PER-MIN,,
http://qudt.org/vocab/unit/BBL_UK_PET-PER-SEC,,
http://qudt.org/vocab/unit/BBL_US-PER-DAY,,
http://qudt.org/vocab/unit/BBL_US-PER-MIN,,
http://qudt.org/vocab/unit/BBL_US_PET-PER-HR,,
http://qudt.org/vocab/unit/BBL_US_PET-PER-SEC,,
http://qudt.org/vocab/unit/BFT,Bft,bsdd-api
http://qudt.org/vocab/unit/BIOT,,
http://qudt.org/vocab/unit/BQ-PER-M3,,
http://qudt.org/vocab/unit/BTU_39DEG_F,,
http://qudt.org/vocab/unit/BTU_59DEG_F,,
http://qudt.org/vocab/unit/BTU_60DEG_F,,
http://qudt.org/vocab/unit/BTU_IT,BTU,bsdd-api
http://qudt.org/vocab/unit/BTU_IT-PER-HR,BTU/h,bsdd-api
http://qudt.org/vocab/unit/BTU_IT-PER-LB_F,,
http://qudt.org/vocab/unit/BTU_IT-PER-SEC,,
http://qudt.org/vocab/unit/BTU_MEAN,,
http://qudt.org/vocab/unit/BTU_TH,,
http://qudt.org/vocab/unit/BTU_TH-PER-HR,,
http://qudt.org/vocab/unit/BU_UK-PER-DAY,,
http://qudt.org/vocab/unit/BU_UK-PER-HR,,
http://qudt.org/vocab/unit/BU_UK-PER-MIN,,
http://qudt.org/vocab/unit/BU_UK-PER-SEC,,
http://qudt.org/vocab/unit/BU_US_DRY,,
http://qudt.org/vocab/unit/BU_US_DRY-PER-DAY,,
http://qudt.org/vocab/unit/BU_US_DRY-PER-HR,,
http://qudt.org/vocab/unit/BU_US_DRY-PER-MIN,,
http://qudt.org/vocab/unit/BU_US_DRY-PER-SEC,,
http://qudt.org/vocab/unit/BasePair,,
http://qudt.org/vocab/unit/CAL_15DEG_C,,
http://qudt.org/vocab/unit/CAL_20DEG_C,,
http://qudt.org/vocab/unit/CAL_IT,cal,bsdd-api
http://qudt.org/vocab/unit/CAL_MEAN,,
http://qudt.org/vocab/unit/CAL_TH,,
http://qudt.org/vocab/unit/CD-PER-FT2,,
http://qudt.org/vocab/unit/CD-PER-IN2,,
http://qudt.org/vocab/unit/CD-PER-M2,cd/m²,bsdd-api
http://qudt.org/vocab/unit/CHAIN,,
http://qudt.org/vocab/unit/CHAIN_US,,
http://qudt.org/vocab/unit/COUNT,,
http://qudt.org/vocab/unit/CYC-PER-SEC,,
http://qudt.org/vocab/unit/CentiBAR,,
http://qudt.org/vocab/unit/CentiM,cm,bsdd-api
http://qudt.org/vocab/unit/CentiM3,cm³,bsdd-api
http://qudt.org/vocab/unit/CentiM3-PER-DAY,,
http://qudt.org/vocab/unit/CentiM3-PER-HR,,
http://qudt.org/vocab/unit/CentiM3-PER-MIN,,
http://qudt.org/vocab/unit/CentiM3-PER-SEC,,
http://qudt.org/vocab/unit/CentiM_H2O,cmH₂O,bsdd-api
http://qudt.org/vocab/unit/CentiM_H2O_4DEG_C,,
http://qudt.org/vocab/unit/CentiM_HG,cmHg,bsdd-api
http://qudt.org/vocab/unit/CentiM_HG_0DEG_C,,
http://qudt.org/vocab/unit/CentiN-M,,
http://qudt.org/vocab/unit/CentiPOISE-PER-BAR,,
http://qudt.org/vocab/unit/DAY,day,bsdd-api
http://qudt.org/vocab/unit/DAY_Sidereal,,
http://qudt.org/vocab/unit/DECADE,,
http://qudt.org/vocab/unit/DEG,deg,bsdd-api
http://qudt.org/vocab/unit/DEG-PER-HR,,
http://qudt.org/vocab/unit/DEG-PER-MIN,,
http://qudt.org/vocab/unit/DEG-PER-SEC,,
http://qudt.org/vocab/unit/DEGREE_BALLING,,
http://qudt.org/vocab/unit/DEGREE_BAUME,,
http://qudt.org/vocab/unit/DEGREE_BAUME_US_HEAVY,,
http://qudt.org/vocab/unit/DEGREE_BAUME_US_LIGHT,,
http://qudt.org/vocab/unit/DEGREE_BRIX,,
http://qudt.org/vocab/unit/DEGREE_OECHSLE,,
http://qudt.org/vocab/unit/DEGREE_PLATO,,
http://qudt.org/vocab/unit/DEGREE_TWADDELL,,
http://qudt.org/vocab/unit/DEG_C,°C,bsdd-api
http://qudt.org/vocab/unit/DEG_C_GROWING_CEREAL,,
http://qudt.org/vocab/unit/DEG_F,°F,bsdd-api
http://qudt.org/vocab/unit/DEG_R,,
http://qudt.org/vocab/unit/DYN-CentiM,,
http://qudt.org/vocab/unit/DYN-M,,
http://qudt.org/vocab/unit/DYN-PER-CentiM2,,
http://qudt.org/vocab/unit/DecaK,,
http://qudt.org/vocab/unit/DecaL,,
http://qudt.org/vocab/unit/DecaM,,
http://qudt.org/vocab/unit/DecaM3,,
http://qudt.org/vocab/unit/DecaPA,,
http://qudt.org/vocab/unit/DeciBAR,,
http://qudt.org/vocab/unit/DeciB_M,dBm,bsdd-api
http://qudt.org/vocab/unit/DeciL,,
http://qudt.org/vocab/unit/DeciM,dm,bsdd-api
http://qudt.org/vocab/unit/DeciM3,,
http://qudt.org/vocab/unit/DeciM3-PER-DAY,,
http://qudt.org/vocab/unit/DeciM3-PER-HR,,
http://qudt.org/vocab/unit/DeciM3-PER-MIN,,
http://qudt.org/vocab/unit/DeciM3-PER-SEC,,
http://qudt.org/vocab/unit/DeciN-M,,
http://qudt.org/vocab/unit/DeciSEC,,
http://qudt.org/vocab/unit/ERG,,
http://qudt.org/vocab/unit/ERG-PER-SEC,,
http://qudt.org/vocab/unit/EV,,
http://qudt.org/vocab/unit/E_h,,
http://qudt.org/vocab/unit/ExaJ,,
http://qudt.org/vocab/unit/ExaJ-PER-SEC,,
http://qudt.org/vocab/unit/ExaV,,
http://qudt.org/vocab/unit/ExaVA,,
http://qudt.org/vocab/unit/ExaW,,
http://qudt.org/vocab/unit/FATH,,
http://qudt.org/vocab/unit/FBM,,
http://qudt.org/vocab/unit/FC,fc,bsdd-api
http://qudt.org/vocab/unit/FLIGHT,,
http://qudt.org/vocab/unit/FM,,
http://qudt.org/vocab/unit/FRACTION,,
http://qudt.org/vocab/unit/FT,ft,bsdd-api
http://qudt.org/vocab/unit/FT-LB_F,,
http://qudt.org/vocab/unit/FT-LB_F-PER-HR,,
http://qudt.org/vocab/unit/FT-LB_F-PER-MIN,,
http://qudt.org/vocab/unit/FT-LB_F-PER-SEC,ft·lbs/sec,bsdd-api
http://qudt.org/vocab/unit/FT-PDL,,
http://qudt.org/vocab/unit/FT-PER-HR,,
http://qudt.org/vocab/unit/FT-PER-SEC,ft/s,bsdd-api
http://qudt.org/vocab/unit/FT2,ft²,bsdd-api
http://qudt.org/vocab/unit/FT3,ft³,bsdd-api
http://qudt.org/vocab/unit/FT3-PER-DAY,,
http://qudt.org/vocab/unit/FT3-PER-HR,,
http://qudt.org/vocab/unit/FT3-PER-MIN,,
http://qudt.org/vocab/unit/FT3-PER-MIN-FT2,,
http://qudt.org/vocab/unit/FT3-PER-SEC,,
http://qudt.org/vocab/unit/FT_H2O,,
http://qudt.org/vocab/unit/FT_H2O_39dot2DEG_F,,
http://qudt.org/vocab/unit/FT_HG,,
http://qudt.org/vocab/unit/FT_US,,
http://qudt.org/vocab/unit/FUR,,
http://qudt.org/vocab/unit/FemtoA,,
http://qudt.org/vocab/unit/FemtoGM-PER-L,,
http://qudt.org/vocab/unit/FemtoJ,,
http://qudt.org/vocab/unit/FemtoL,,
http://qudt.org/vocab/unit/FemtoM,,
http://qudt.org/vocab/unit/FemtoSEC,,
http://qudt.org/vocab/unit/FemtoV,,
http://qudt.org/vocab/unit/GAL_UK-PER-DAY,,
http://qudt.org/vocab/unit/GAL_UK-PER-HR,,
http://qudt.org/vocab/unit/GAL_UK-PER-MIN,galUK/min,bsdd-api
http://qudt.org/vocab/unit/GAL_UK-PER-SEC,,
http://qudt.org/vocab/unit/GAL_US-PER-DAY,,
http://qudt.org/vocab/unit/GAL_US-PER-HR,,
http://qudt.org/vocab/unit/GAL_US-PER-MIN,,
http://qudt.org/vocab/unit/GAL_US-PER-SEC,,
http://qudt.org/vocab/unit/GAUGE_FR,,
http://qudt.org/vocab/unit/GA_Charriere,,
http://qudt.org/vocab/unit/GI_UK,,
http://qudt.org/vocab/unit/GI_UK-PER-DAY,,
http://qudt.org/vocab/unit/GI_UK-PER-HR,,
http://qudt.org/vocab/unit/GI_UK-PER-MIN,,
http://qudt.org/vocab/unit/GI_UK-PER-SEC,,
http://qudt.org/vocab/unit/GI_US,,
http://qudt.org/vocab/unit/GI_US-PER-DAY,,
http://qudt.org/vocab/unit/GI_US-PER-HR,,
http://qudt.org/vocab/unit/GI_US-PER-MIN,,
http://qudt.org/vocab/unit/GI_US-PER-SEC,,
http://qudt.org/vocab/unit/GM-PER-CentiM3,g/cm³,bsdd-api
http://qudt.org/vocab/unit/GM-PER-DeciL,,
http://qudt.org/vocab/unit/GM-PER-DeciM3,,
http://qudt.org/vocab/unit/GM-PER-L,g/l,bsdd-api
http://qudt.org/vocab/unit/GM-PER-M3,g/m³,bsdd-api
http://qudt.org/vocab/unit/GM-PER-MilliL,,
http://qudt.org/vocab/unit/GM_F-PER-CentiM2,,
http://qudt.org/vocab/unit/GON,,
http://qudt.org/vocab/unit/GR,,
http://qudt.org/vocab/unit/GRAD,°,bsdd-api
http://qudt.org/vocab/unit/GRAIN-PER-GAL_IMP,,
http://qudt.org/vocab/unit/GRAIN-PER-GAL_US,,
http://qudt.org/vocab/unit/GRAIN-PER-LB_M,,
http://qudt.org/vocab/unit/GRAIN-PER-M3,,
http://qudt.org/vocab/unit/GigaA,,
http://qudt.org/vocab/unit/GigaBasePair,,
http://qudt.org/vocab/unit/GigaEV,,
http://qudt.org/vocab/unit/GigaHZ,,
http://qudt.org/vocab/unit/GigaHZ-M,,
http://qudt.org/vocab/unit/GigaJ,,
http://qudt.org/vocab/unit/GigaJ-PER-HR,,
http://qudt.org/vocab/unit/GigaJ-PER-SEC,,
http://qudt.org/vocab/unit/GigaPA,GPa,bsdd-api
http://qudt.org/vocab/unit/GigaV,,
http://qudt.org/vocab/unit/GigaVA,,
http://qudt.org/vocab/unit/GigaVAR,,
http://qudt.org/vocab/unit/GigaW,,
http://qudt.org/vocab/unit/GigaW-HR,,
http://qudt.org/vocab/unit/H-PER-KiloOHM,,
http://qudt.org/vocab/unit/H-PER-OHM,,
http://qudt.org/vocab/unit/HP,hp,bsdd-api
http://qudt.org/vocab/unit/HP_Boiler,,
http://qudt.org/vocab/unit/HP_Brake,,
http://qudt.org/vocab/unit/HP_Electric,,
http://qudt.org/vocab/unit/HP_H2O,,
http://qudt.org/vocab/unit/HP_Metric,,
http://qudt.org/vocab/unit/HR,hr,bsdd-api
http://qudt.org/vocab/unit/HR_Sidereal,,
http://qudt.org/vocab/unit/HZ,Hz,bsdd-api
http://qudt.org/vocab/unit/HZ-M,,
http://qudt.org/vocab/unit/HectoBAR,,
http://qudt.org/vocab/unit/HectoHZ,,
http://qudt.org/vocab/unit/HectoL,hL,bsdd-api
http://qudt.org/vocab/unit/HectoM,,
http://qudt.org/vocab/unit/HectoPA,hPa,bsdd-api
http://qudt.org/vocab/unit/HectoPA-L-PER-SEC,,
http://qudt.org/vocab/unit/HectoPA-M3-PER-SEC,,
http://qudt.org/vocab/unit/HectoPA-PER-BAR,,
http://qudt.org/vocab/unit/IN,in,bsdd-api
http://qudt.org/vocab/unit/IN-PDL,,
http://qudt.org/vocab/unit/IN-PER-YR,,
http://qudt.org/vocab/unit/IN3,in³,bsdd-api
http://qudt.org/vocab/unit/IN3-PER-HR,,
http://qudt.org/vocab/unit/IN3-PER-MIN,,
http://qudt.org/vocab/unit/IN3-PER-SEC,,
http://qudt.org/vocab/unit/IN_H2O,in/wc,bsdd-api
http://qudt.org/vocab/unit/IN_H2O_39dot2DEG_F,,
http://qudt.org/vocab/unit/IN_H2O_60DEG_F,,
http://qudt.org/vocab/unit/IN_HG,inHg,bsdd-api
http://qudt.org/vocab/unit/IN_HG_32DEG_F,,
http://qudt.org/vocab/unit/IN_HG_60DEG_F,,
http://qudt.org/vocab/unit/J,J,bsdd-api
http://qudt.org/vocab/unit/J-PER-DAY,,
http://qudt.org/vocab/unit/J-PER-HR,J/h,bsdd-api
http://qudt.org/vocab/unit/J-PER-MIN,,
http://qudt.org/vocab/unit/J-PER-SEC,,
http://qudt.org/vocab/unit/K,K,bsdd-api
http://qudt.org/vocab/unit/KIP_F-PER-IN2,,
http://qudt.org/vocab/unit/KiloA,kA,bsdd-api
http://qudt.org/vocab/unit/KiloBAR,,
http://qudt.org/vocab/unit/KiloBTU_IT,,
http://qudt.org/vocab/unit/KiloBTU_IT-PER-HR,,
http://qudt.org/vocab/unit/KiloBTU_TH,,
http://qudt.org/vocab/unit/KiloCAL,,
http://qudt.org/vocab/unit/KiloCAL-PER-MIN,,
http://qudt.org/vocab/unit/KiloCAL-PER-SEC,,
http://qudt.org/vocab/unit/KiloCAL_IT,,
http://qudt.org/vocab/unit/KiloCAL_Mean,,
http://qudt.org/vocab/unit/KiloCAL_TH,,
http://qudt.org/vocab/unit/KiloCubicFT,,
http://qudt.org/vocab/unit/KiloEV,,
http://qudt.org/vocab/unit/KiloGM-PER-CentiM3,,
http://qudt.org/vocab/unit/KiloGM-PER-DeciM3,,
http://qudt.org/vocab/unit/KiloGM-PER-L,,
http://qudt.org/vocab/unit/KiloGM-PER-M-SEC2,,
http://qudt.org/vocab/unit/KiloGM-PER-M3,kg/m³,bsdd-api
http://qudt.org/vocab/unit/KiloGM_F-M,,
http://qudt.org/vocab/unit/KiloGM_F-M-PER-SEC,,
http://qudt.org/vocab/unit/KiloGM_F-PER-CentiM2,,
http://qudt.org/vocab/unit/KiloGM_F-PER-M2,,
http://qudt.org/vocab/unit/KiloGM_F-PER-MilliM2,,
http://qudt.org/vocab/unit/KiloHZ,kHz,bsdd-api
http://qudt.org/vocab/unit/KiloJ,kJ,bsdd-api
http://qudt.org/vocab/unit/KiloJ-PER-DAY,,
http://qudt.org/vocab/unit/KiloJ-PER-HR,,
http://qudt.org/vocab/unit/KiloJ-PER-MIN,,
http://qudt.org/vocab/unit/KiloJ-PER-SEC,,
http://qudt.org/vocab/unit/KiloL,kL,bsdd-api
http://qudt.org/vocab/unit/KiloL-PER-HR,,
http://qudt.org/vocab/unit/KiloLB_F-PER-IN2,,
http://qudt.org/vocab/unit/KiloM,km,bsdd-api
http://qudt.org/vocab/unit/KiloM-PER-HR,km/h,bsdd-api
http://qudt.org/vocab/unit/KiloM-PER-SEC,km/s,bsdd-api
http://qudt.org/vocab/unit/KiloN-M,,
http://qudt.org/vocab/unit/KiloN-PER-CentiM2,,
